Expressao,GrupoMultiplo,IndicaNaoOSC,SubGrupo,Motivo,Check
^C ESC DA,0,1,.,CAIXAS ESCOLARES e similares,
^C ESC DO,0,1,.,CAIXAS ESCOLARES e similares,
^C ESCOLAR DA,0,1,.,CAIXAS ESCOLARES e similares,
^C\\. ESCOLAR DA,0,1,.,CAIXAS ESCOLARES e similares,
^CA ES,0,1,.,CAIXAS ESCOLARES e similares,
^CA\\. ES,0,1,.,CAIXAS ESCOLARES e similares,
^CAI E,0,1,.,CAIXAS ESCOLARES e similares,
^CAIA E ,0,1,.,CAIXAS ESCOLARES e similares,
^CAIX E,0,1,.,CAIXAS ESCOLARES e similares,
^CAIXA E ,0,1,.,CAIXAS ESCOLARES e similares,
^CAIXA E\\.,0,1,.,CAIXAS ESCOLARES e similares,
^CAIXA ECONOMICA,0,1,.,CAIXAS ESCOLARES e similares,
^CAIXA ESC,0,1,.,CAIXAS ESCOLARES e similares,
^CAIXA ESC,0,1,.,CAIXAS ESCOLARES e similares,
^CAIXA EXECUTORA,0,1,.,CAIXAS ESCOLARES e similares,
^CAIXA$,0,1,.,CAIXAS ESCOLARES e similares,
^CAIXAS ESC,0,1,.,CAIXAS ESCOLARES e similares,
^CX E,0,1,.,CAIXAS ESCOLARES e similares,
^CX\\. E\\.,0,1,.,CAIXAS ESCOLARES e similares,
^CXA E,0,1,.,CAIXAS ESCOLARES e similares,
^CXA\\.E,0,1,.,CAIXAS ESCOLARES e similares,
CAIXA CANDIDA,0,1,.,CAIXAS ESCOLARES e similares,
CAIXA CHAVESESCOLAR,0,1,.,CAIXAS ESCOLARES e similares,
CAIXA DA E\\. E\\.,0,1,.,CAIXAS ESCOLARES e similares,
CAIXA DA ESC,0,1,.,CAIXAS ESCOLARES e similares,
CAIXA DE CUSTEIO,0,1,.,CAIXAS ESCOLARES e similares,
CAIXA DE ENSINO,0,1,.,CAIXAS ESCOLARES e similares,
CAIXA DO PRE ESCOLAR,0,1,.,CAIXAS ESCOLARES e similares,
CAIXA ECOLAR,0,1,.,CAIXAS ESCOLARES e similares,
CAIXA ECSOLAR,0,1,.,CAIXAS ESCOLARES e similares,
CAIXA EDCOLAR,0,1,.,CAIXAS ESCOLARES e similares,
CAIXA EDSCOLAR,0,1,.,CAIXAS ESCOLARES e similares,
CAIXA EE,0,1,.,CAIXAS ESCOLARES e similares,
CAIXA ES ,0,1,.,CAIXAS ESCOLARES e similares,
CAIXA ES\\.DA,0,1,.,CAIXAS ESCOLARES e similares,
CAIXA ESACOLAR,0,1,.,CAIXAS ESCOLARES e similares,
CAIXA ESC,0,1,.,CAIXAS ESCOLARES e similares,
